Date,Number of passengers,,
Jan-91,"1,708,917",,
Feb-91,"1,620,586",,
Mar-91,"1,972,715",,
Apr-91,"1,811,665",,
May-91,"1,974,964",,
Jun-91,"1,862,356",,
Jul-91,"1,939,860",,
Aug-91,"2,013,264",,
Sep-91,"1,595,657",,
Oct-91,"1,724,924",,
Nov-91,"1,675,667",,
Dec-91,"1,813,863",,
Jan-92,"1,614,827",,
Feb-92,"1,557,088",,
Mar-92,"1,891,223",,
Apr-92,"1,955,981",,
May-92,"1,884,714",,
Jun-92,"1,623,042",,
Jul-92,"1,903,309",,
Aug-92,"1,996,712",,
Sep-92,"1,703,897",,
Oct-92,"1,810,000",,
Nov-92,"1,861,601",,
Dec-92,"1,875,122",,
Jan-93,"1,705,259",,
Feb-93,"1,618,535",,
Mar-93,"1,836,709",,
Apr-93,"1,957,043",,
May-93,"1,917,185",,
Jun-93,"1,882,398",,
Jul-93,"1,933,009",,
Aug-93,"1,996,167",,
Sep-93,"1,672,841",,
Oct-93,"1,752,827",,
Nov-93,"1,720,377",,
Dec-93,"1,734,292",,
Jan-94,"1,563,365",,
Feb-94,"1,573,959",,
Mar-94,"1,902,639",,
Apr-94,"1,833,888",,
May-94,"1,831,049",,
Jun-94,"1,775,755",,
Jul-94,"1,867,508",,
Aug-94,"1,906,608",,
Sep-94,"1,685,632",,
Oct-94,"1,778,546",,
Nov-94,"1,775,995",,
Dec-94,"1,783,350",,
Jan-95,"1,548,415",,
Feb-95,"1,496,925",,
Mar-95,"1,798,316",,
Apr-95,"1,732,895",,
May-95,"1,772,345",,
Jun-95,"1,761,207",,
Jul-95,"1,791,655",,
Aug-95,"1,874,820",,
Sep-95,"1,571,309",,
Oct-95,"1,646,948",,
Nov-95,"1,672,631",,
Dec-95,"1,656,845",,
Jan-96,"1,381,758",,
Feb-96,"1,360,852",,
Mar-96,"1,558,575",,
Apr-96,"1,608,420",,
May-96,"1,696,696",,
Jun-96,"1,693,183",,
Jul-96,"1,835,516",,
Aug-96,"1,942,573",,
Sep-96,"1,551,401",,
Oct-96,"1,686,508",,
Nov-96,"1,578,982",,
Dec-96,"1,700,433",,
Jan-97,"1,396,588",,
Feb-97,"1,371,690",,
Mar-97,"1,707,522",,
Apr-97,"1,654,604",,
May-97,"1,762,903",,
Jun-97,"1,775,800",,
Jul-97,"1,934,219",,
Aug-97,"2,008,055",,
Sep-97,"1,615,924",,
Oct-97,"1,773,910",,
