country,total_cases,confirmed,new_cases,deaths,new_deaths,recovered,active,active_cases,critical,total_tests,total_tests_per_million,total_cases_per_million,total_deaths_per_million,population
0,721,721,0,15,0,706,0,0,0,0,0,0,0,0
USA,44518437,44518437,,719933,,33938147,9860357,9860357,19236,644748656,0,133514,2159,333437210
India,33845586,33845586,11343,449214,185,33134292,262080,262080,8944,574252400,0,24227,322,1397013045
Brazil,21468121,21468121,,597986,,20442653,427482,427482,8318,63776166,0,100106,2788,214454297
UK,7900680,7900680,,136953,,6417660,1346067,1346067,815,304621001,0,115620,2004,68333332
Russia,7612317,7612317,25781,210801,883,6740491,661025,661025,2300,193700000,0,52135,1444,146012999
Turkey,7238267,7238267,,64661,,6686246,487360,487360,633,87366730,0,84681,756,85476611
France,7027059,7027059,,116798,,6790335,119926,119926,1355,143234831,0,107358,1784,65454753
Iran,5638735,5638735,14607,121347,238,5115796,401592,401592,5727,32619228,0,66074,1422,85340085
Argentina,5259738,5259738,,115245,,5123173,21320,21320,1052,24252818,0,115053,2521,45715732
Colombia,4962054,4962054,,126401,,4804357,31296,31296,342,25670579,0,96233,2451,51562700
Spain,4961128,4961128,,86463,,4755738,118927,118927,675,64557887,0,106058,1848,46777507
Italy,4682034,4682034,,131031,,4458036,92967,92967,431,93400967,0,77581,2171,60350221
Germany,4260494,4260494,,94296,,4032400,133798,133798,1336,73348901,0,50648,1121,84120076
Indonesia,4220206,4220206,922,142261,88,4046891,31054,31054,,40080081,0,15227,513,277149116
Mexico,3681960,3681960,2980,278801,211,3035521,367638,367638,4798,10737104,0,28186,2134,130630767
Poland,2911549,2911549,684,75695,,2665103,170751,170751,170,21036799,0,77036,2003,37794579
South Africa,2906422,2906422,,87780,,2779906,38736,38736,546,17783920,0,48243,1457,60245721
Philippines,2604040,2604040,10748,38828,61,2459052,106160,106160,3170,21355719,0,23374,349,111408531
Ukraine,2460010,2460010,4821,56889,114,2264523,138598,138598,177,12966892,0,56677,1311,43403796
Malaysia,2277565,2277565,,26683,,2100565,150317,150317,860,30516206,0,69257,811,32885627
Peru,2178939,2178939,,199485,,,,,960,18031837,0,64951,5946,33547290
Iraq,2011634,2011634,1956,22392,27,1925653,63589,63589,418,15291079,0,48647,542,41351709
Netherlands,2009648,2009648,1624,18184,2,1933704,57760,57760,140,17496108,0,116959,1058,17182447
Japan,1705046,1705046,968,17730,14,1666769,20547,20547,693,24987997,0,13533,141,125990353
Czechia,1694107,1694107,314,30478,,1656058,7571,7571,28,38408594,0,157828,2839,10733912
Chile,1656602,1656602,,37494,,1611676,7432,7432,370,22008751,0,85737,1940,19321946
Thailand,1647362,1647362,9930,17111,97,1520503,109748,109748,3324,9201621,0,23527,244,70019750
Canada,1632735,1632735,,27953,,1558874,45908,45908,776,43456266,0,42790,733,38157059
Bangladesh,1558758,1558758,794,27591,18,1519588,11579,11579,1394,9819418,0,9348,165,166746232
Israel,1291808,1291808,698,7827,2,1245735,38246,38246,564,27044579,0,138517,839,9326000
Romania,1274119,1274119,8292,37677,133,1130791,105651,105651,1468,13080535,0,66790,1975,19076516
Pakistan,1251348,1251348,1490,27893,27,1177249,46206,46206,3407,19590145,0,5531,123,226261150
Belgium,1247197,1247197,,25612,,1161904,59681,59681,213,20090665,0,107029,2198,11652900
Sweden,1153655,1153655,,14827,,1116714,22114,22114,39,12605062,0,113345,1457,10178248
Portugal,1071307,1071307,193,18000,7,1023085,30222,30222,68,18640098,0,105450,1772,10159382
Serbia,966989,966989,5983,8430,50,830132,128427,128427,256,5727277,0,111235,970,8693181
Morocco,935332,935332,,14339,,909711,11282,11282,393,9755261,0,24970,383,37458849
Kazakhstan,892710,892710,1717,11323,31,830241,51146,51146,221,11575012,0,46841,594,19058176
Cuba,891447,891447,,7580,,859978,23889,23889,358,9691339,0,78764,670,11317938
Switzerland,844209,844209,2629,11108,1,777746,55355,55355,168,10980085,0,96658,1272,8733993
Jordan,826282,826282,,10742,,802859,12681,12681,460,10148511,0,79988,1040,10330112
Hungary,824876,824876,1492,30230,31,786737,7909,7909,87,6980188,0,85661,3139,9629555
Vietnam,813961,813961,5383,19845,130,721480,72636,72636,,42517091,0,8269,202,98436644
Nepal,798004,798004,812,11174,10,770224,16606,16606,,4234056,0,26785,375,29792936
Austria,750229,750229,1404,11034,8,718879,20316,20316,220,88396908,0,82708,1216,9070855
UAE,736897,736897,189,2103,1,729835,4959,4959,0,85147148,0,73395,209,10040157
Tunisia,708203,708203,220,24934,6,678412,4857,4857,206,2959305,0,59147,2082,11973636
Greece,661308,661308,,14920,,621707,24681,24681,332,20685700,0,63838,1440,10359122
Lebanon,625974,625974,,8348,,596068,21558,21558,200,4780275,0,92230,1230,6787065
Georgia,618620,618620,867,9068,30,591668,17884,17884,,9073595,0,155450,2279,3979554
Guatemala,570453,570453,,13730,,532435,24288,24288,5,2597799,0,31120,749,18330461
Saudi Arabia,547315,547315,53,8727,3,536370,2218,2218,175,29097781,0,15420,246,35492956
Belarus,545843,545843,1872,4200,12,523837,17806,17806,0,8637860,0,57789,445,9445422
Costa Rica,533873,533873,,6413,,438817,88643,88643,458,2393237,0,103616,1245,5152439
Sri Lanka,520432,520432,,13059,,459298,48075,48075,0,4950195,0,24177,607,21525886
Ecuador,510619,510619,,32791,,443880,33948,33948,759,1850217,0,28401,1824,17978634
