,id_text,id_forum,text,type,tagger,pasien,usia_pasien,penyakit,gejala,kapan,periode,tindakan,outcome,pertanyaan,pembuka,penyebab,prakondisi,objek,penutup,referensi,artikel,observasi,clean_no_stopwords,remove_char,clean_stopwords
0,1,1,"Selamat siang dokter, ibu saya sering kaget kadang juga nyeri didada jika kaget",q,f,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Selamat siang dokter, ibu saya sering kaget kadang juga nyeri didada jika kaget",selamat siang dokter ibu saya sering kaget kadang juga nyeri didada jika kaget,selamat siang dokter kaget kadang nyeri didada kaget
1,2,1,", Apakah itu ciri-ciri terkena jantung lemah ya dok? Solusinya seperti apa ya dok? kami keluarga takut dan cemas jika ibu terkena jantung lemah dokter",q,f,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,", Apakah itu ciri-ciri terkena jantung lemah ya dok? Solusinya seperti apa ya dok? kami keluarga takut dan cemas jika ibu terkena jantung lemah dokter",apakah itu ciri-ciri terkena jantung lemah ya dok solusinya seperti apa ya dok kami keluarga takut dan cemas jika ibu terkena jantung lemah dokter,ciri-ciri terkena jantung lemah ya dok solusinya ya dok keluarga takut cemas terkena jantung lemah dokter
2,3,2,"Penyakit jantung terdiri dari berbagai macam seperti gagal jantung, kemudian pembuluh jantung tersumbat sehingga menyebabkan nyeri dada angina, penyakit katup jantung, pembengkakan jantung dan sebagainya",a,f,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Penyakit jantung terdiri dari berbagai macam seperti gagal jantung, kemudian pembuluh jantung tersumbat sehingga menyebabkan nyeri dada angina, penyakit katup jantung, pembengkakan jantung dan sebagainya",penyakit jantung terdiri dari berbagai macam seperti gagal jantung kemudian pembuluh jantung tersumbat sehingga menyebabkan nyeri dada angina penyakit katup jantung pembengkakan jantung dan sebagainya,penyakit jantung gagal jantung pembuluh jantung tersumbat menyebabkan nyeri dada angina penyakit katup jantung pembengkakan jantung
3,4,2,"Setiap jenis penyakit jantung tersebut dapat menyebabkan keluhan berbeda seperti sesak napas, mudah lelah, nyeri dada, kaki bengkak, batuk, dan sebagainya",a,f,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Setiap jenis penyakit jantung tersebut dapat menyebabkan keluhan berbeda seperti sesak napas, mudah lelah, nyeri dada, kaki bengkak, batuk, dan sebagainya",setiap jenis penyakit jantung tersebut dapat menyebabkan keluhan berbeda seperti sesak napas mudah lelah nyeri dada kaki bengkak batuk dan sebagainya,jenis penyakit jantung menyebabkan keluhan berbeda sesak napas mudah lelah nyeri dada kaki bengkak batuk
4,5,2,Oleh karena terdapat berbagai jenis penyakit jantung maka mengeluhkan nyeri dada saja tidak bisa dipastikan apakah itu merupakan penyakit jantung atau tidak,a,f,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Oleh karena terdapat berbagai jenis penyakit jantung maka mengeluhkan nyeri dada saja tidak bisa dipastikan apakah itu merupakan penyakit jantung atau tidak,oleh karena terdapat berbagai jenis penyakit jantung maka mengeluhkan nyeri dada saja tidak bisa dipastikan apakah itu merupakan penyakit jantung atau tidak,jenis penyakit jantung mengeluhkan nyeri dada penyakit jantung
5,6,2,Perlu dilakukan pemeriksaan lebih lanjut,a,f,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Perlu dilakukan pemeriksaan lebih lanjut,perlu dilakukan pemeriksaan lebih lanjut,pemeriksaan
6,7,3,"Alo Dok, Saya rutin mengkonsumsi obat-obatan dalam rangka gagal jantung",q,f,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Alo Dok, Saya rutin mengkonsumsi obat-obatan dalam rangka gagal jantung",alo dok saya rutin mengkonsumsi obat-obatan dalam rangka gagal jantung,alo dok rutin mengkonsumsi obat-obatan rangka gagal jantung
7,8,3,"Saat ini bisoprolol, ramipril, clopidogrel, nospirinal, simvastatin, spironolactone, dan uperio",q,f,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Saat ini bisoprolol, ramipril, clopidogrel, nospirinal, simvastatin, spironolactone, dan uperio",saat ini bisoprolol ramipril clopidogrel nospirinal simvastatin spironolactone dan uperio,bisoprolol ramipril clopidogrel nospirinal simvastatin spironolactone uperio
8,9,3,"Seringkali detak jantung saya adalah 50-an, bahkan kadang sampai di bawah 50",q,f,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Seringkali detak jantung saya adalah 50-an, bahkan kadang sampai di bawah 50",seringkali detak jantung saya adalah 50-an bahkan kadang sampai di bawah 50,seringkali detak jantung 50-an kadang 50
9,10,3,"Apakah ini terlalu rendah? Saya baca-baca, normalnya di atas 60",q,f,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Apakah ini terlalu rendah? Saya baca-baca, normalnya di atas 60",apakah ini terlalu rendah saya baca-baca normalnya di atas 60,rendah baca-baca normalnya 60
10,11,3,Ini sepertinya hanya terjadi saat saya duduk atau tidur,q,f,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Ini sepertinya hanya terjadi saat saya duduk atau tidur,ini sepertinya hanya terjadi saat saya duduk atau tidur,duduk tidur
11,12,3,"Kalau berdiri, detak jantung kembali ke 60-80",q,f,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kalau berdiri, detak jantung kembali ke 60-80",kalau berdiri detak jantung kembali ke 60-80,berdiri detak jantung 60-80
12,13,3,"Saya sih sepertinya tidak merasakan tanda-tanda bahaya seperti sakit dada, kebingungan, sesak, pusing, dan sejenisnya, walau agak susah juga menentukannya karena beberapa tanda tersebut dalam intensitas rendah saat ini sudah ""biasa"" saya rasakan (sejak serangan jantung & didiagnosa gagal jantung)",q,f,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"Saya sih sepertinya tidak merasakan tanda-tanda bahaya seperti sakit dada, kebingungan, sesak, pusing, dan sejenisnya, walau agak susah juga menentukannya karena beberapa tanda tersebut dalam intensitas rendah saat ini sudah ""biasa"" saya rasakan (sejak serangan jantung & didiagnosa gagal jantung)","saya sih sepertinya tidak merasakan tanda-tanda bahaya seperti sakit dada kebingungan sesak pusing dan sejenisnya walau agak susah juga menentukannya karena beberapa tanda tersebut dalam intensitas rendah saat ini sudah ""biasa"" saya rasakan sejak serangan jantung  didiagnosa gagal jantung","sih merasakan tanda-tanda bahaya sakit dada kebingungan sesak pusing sejenisnya susah menentukannya tanda intensitas rendah ""biasa"" rasakan serangan jantung didiagnosa gagal jantung"
